Unnamed: 0,Created at,User ID,Text
27,2022-08-09 15:17:07+00:00,1557023173148676097,"What’s amazing is that the right-wing thinks that if they threaten to get mad, that Democrats &amp; officials will automatically back down - which has been the case for so long. But now that officials are not backing down when the right-wing yells, it’s confusing &amp; frustrating them."
28,2022-08-09 15:07:57+00:00,1557020868441567234,"Whenever there’s an unjust attack on someone on the left, we focus on the injustice. What’s amazing about Republicans is that they don’t even bother to state an injustice. They think their side being held accountable is the injustice. “How dare they?!”"
29,2022-08-09 12:24:42+00:00,1556979786152521728,I love that Mark Bankston chose to come on @TheYoungTurks before any other media outlet. And @AnaKasparian did a brilliant job of getting and conducting the interview. https://t.co/LhFK72JEoh
30,2022-08-09 12:14:32+00:00,1556977226981056512,"We broke this story last night. Now let me add my commentary. Who sends a nude pic of their wife to a bro? Especially one as awful as Roger Stone. An absolute slimeball, that's who. Alex Jones is a disgusting human being on every level. https://t.co/VoA1ovZ7FD"
31,2022-08-09 11:58:39+00:00,1556973227326377985,"I love the term Banana Republicans. Wanted to give credit. This is at least the first time I've heard it. Will use it from now on. So, for Banana Republicans, do they really think the FBI shouldn't investigate Trump if they think he broke the law (which he almost certainly did)? https://t.co/hW8Wo1oTwV"
32,2022-08-09 10:58:23+00:00,1556958060949561345,"Every CA Democrat who isn't supporting $18 minimum wage should explain on the record why not. @ada_briceno is another hero who signed on to petition to put this on ballot now. But you shouldn't have to be a hero, as a Democrat, to fight for higher wages! https://t.co/S7i86gLZXW"
33,2022-08-09 10:33:51+00:00,1556951888020459520,"Republicans loved it as cops unfairly targeted minorities for centuries. The minute they fairly target their crook of a leader, they're in disbelief. They never thought law enforcement was supposed to be for justice, they thought cops were just supposed to be their armed guards."
34,2022-08-09 02:55:00+00:00,1556836415194902529,Sandy Hook Lawyer Claims Alex Jones Sent 'Intimate Photo' of His Wife to Roger Stone: 'I Don't Know if That Was Consensual' https://t.co/wmkcadxx93 via @mediaite
35,2022-08-09 02:43:19+00:00,1556833475868499968,The only thing I love more than Trump's residence being raided is how much conservatives are crying about it. It breaks their dark little hearts to find out they are not above the law. https://t.co/IX3WSqVAFn
36,2022-08-08 06:42:33+00:00,1556531292807774209,This is going to get the average American worker even more indebted to corporations who run our lives. But every cable news anchor will tell you that the real problem is your wages are too high. https://t.co/P5OESfk2eb
